number,name,rarity,stage,HP,type,ability_name,ability_effect,move1_name,move1_cost,move1_damage,move1_effect,move2_name,move2_cost,move2_damage,move2_effect,retreat_cost,pack_name,pack_points,image
A1 011,Oddish,◇,Basic,60,Grass,,,Ram,🟢,20,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4171726/f6e89388881bd46c1a2a12fb59fa7800.png/show
A1 012,Gloom,◇◇,Stage 1,80,Grass,,,Drool,🟢*️⃣,40,,,,,,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998364/e57c97310b27c6efac8506d7dd48921b.png/show
A1 013,Vileplume,◇◇◇,Stage 2,140,Grass,,,Soothing Scent,🟢🟢*️⃣,80,Your opponent's Active Pokemon is now Asleep.,,,,,3,Genetic Apex (A1) Charizard,150,https://img.game8.co/4004049/8f7c224f4dde3d6d6012b428d57a748c.png/show
A1 014,Paras,◇,Basic,70,Grass,,,Scratch,🟢*️⃣,30,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4006689/109616011b848f2a6858f7f34eafa06a.png/show
A1 015,Parasect,◇◇,Stage 1,120,Grass,,,Slash,🟢🟢*️⃣,80,,,,,,2,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4004050/ddfd3df6e04bf4b005bd856ced03be18.png/show
A1 016,Venonat,◇,Basic,60,Grass,,,Tackle,🟢,20,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003547/5e326a850486a8ee124abdbc89d4e4b0.png/show
A1 017,Venomoth,◇◇,Stage 1,80,Grass,,,Poison Powder,🟢,30,Your opponent's Active Pokemon is now Poisoned.,,,,,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4004056/277ad272b4379fa0fb3a423da11b729d.png/show
A1 018,Bellsprout,◇,Basic,60,Grass,,,Vine Whip,🟢,30,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998361/0bb8f6247718d51699261c3b317fe1e2.png/show
A1 019,Weepinbell,◇◇,Stage 1,90,Grass,,,Razor Leaf,🟢*️⃣,40,,,,,,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/4003551/f3c89b9b13f35dd7a9f7826673294337.png/show
A1 020,Victreebel,◇◇◇,Stage 2,140,Grass,Fragrance Trap,"If this Pokemon is in the Active Spot, once during your turn, you may switch in 1 of your opponent's Benched Basic Pokemon to the Active Spot.",,,,,Vine Whip,🟢*️⃣,60,,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/3998369/33445897d312b1f7e399bcd686aff8d8.png/show
A1 021,Exeggcute,◇,Basic,50,Grass,,,Seed Bomb,🟢,20,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998366/d833f142d39f949cb107c5ebde8d2cc8.png/show
A1 022,Exeggutor,◇◇◇,Stage 1,130,Grass,,,Stomp,🟢,30+,"Flip a coin. If heads, this attack does 30 more damage.",,,,,3,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006628/4e6a5342b585a516bc44f5b09eac3346.png/show
A1 023,Exeggutor ex,◇◇◇◇,Stage 1,160,Grass,,,Tropical Swing,🟢,40+,"Flip a coin. If heads, this attack does 40 more damage.",,,,,3,Genetic Apex (A1) Charizard,500,https://img.game8.co/4003424/51e6ed4a578f4c675ff5a1244baaf3d4.png/show
A1 024,Tangela,◇,Basic,80,Grass,,,Absorb,🟢*️⃣,40,Heal 30 damage from this Pokemon.,,,,,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/4171730/ff4d8013811e8263d9c246d90f13eb0f.png/show
A1 025,Scyther,◇,Basic,70,Grass,,,Sharp Scythe,🟢,30,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003541/14fb34453ef5a5c42d9d1eb6757eefe3.png/show
A1 026,Pinsir,◇◇,Basic,90,Grass,,,Double Horn,🟢🟢,50x,Flip 2 coins. This attack does 50 damage for each heads.,,,,,2,Genetic Apex (A1) Any,70,https://img.game8.co/4171739/029c4cb3ce8eb5f85a1359121766e8ce.png/show
A1 027,Cottonee,◇,Basic,50,Grass,,,Attach,*️⃣,10,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/4171735/9557854120a56729eb7fe8812b392108.png/show
A1 028,Whimsicott,◇◇,Stage 1,80,Grass,,,Rolling Tackle,*️⃣,40,,,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/4171747/d7ee6fc822bb41ca4e2caa7d99b84092.png/show
A1 029,Petilil,◇,Basic,60,Grass,,,Blot,🟢,10,Heal 10 damage from this Pokemon.,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/4171737/8ce70e4d77ef8cc8f572dff51413dd11.png/show
A1 030,Lilligant,◇◇,Stage 1,100,Grass,,,Leaf Supply,🟢🟢,50,Take a Grass Energy from your Energy Zone and attach it to 1 of your Benched Grass Pokemon.,,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/4171751/e273d332f19facb4445b740adba11b6a.png/show
A1 031,Skiddo,◇,Basic,70,Grass,,,Surprise Attack,*️⃣,40,"Flip a coin. If tails, this attack does nothing.",,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4006629/41624508d971975a45d85a2aacf96ce2.png/show
A1 032,Gogoat,◇,Stage 1,120,Grass,,,Razor Leaf,🟢,70,,,,,,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998368/7f43ea90627358975107d9a4c8d10f35.png/show
A1 033,Charmander,◇,Basic,60,Fire,,,Ember,🔴,30,Discard a Fire Energy from this Pokemon.,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4171846/37bbe7e6c63087be5a3b57feb7927cab.png/show
A1 034,Charmeleon,◇◇,Stage 1,90,Fire,,,Fire Claws,🔴*️⃣*️⃣,60,,,,,,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/4171853/3752ff61ab0ead1cce393bf1da995b94.png/show
A1 035,Charizard,◇◇◇,Stage 2,150,Fire,,,Fire Spin,🔴🔴*️⃣*️⃣,150,Discard 2 Fire Energy from this Pokemon.,,,,,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/3995527/abacc583cb2b4f639c07d9642045695b.png/show
A1 036,Charizard ex,◇◇◇◇,Stage 2,180,Fire,,,Slash,🔴*️⃣*️⃣,60,,Crimson Storm,🔴🔴*️⃣*️⃣,200,Discard 2 Fire Energy from this Pokemon.,2,Genetic Apex (A1) Charizard,500,https://img.game8.co/3995526/ac9d9361799eb484958ffd4873a7c091.png/show
A1 037,Vulpix,◇,Basic,50,Fire,,,Tail Whip,*️⃣,,"Flip a coin. If heads, the Defending Pokemon can't attack during your opponent's next turn.",,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4003549/d9d1247e0b2a309b5090972bcde080bd.png/show
A1 038,Ninetales,◇◇,Stage 1,90,Fire,,,Flamethrower,🔴🔴,90,Discard a Fire Energy from this Pokemon.,,,,,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/4004066/5355e3320f79bd5ddbac28f0938d55a0.png/show
A1 039,Growlithe,◇,Basic,70,Fire,,,Bite,*️⃣*️⃣,20,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003508/3be46036163a4e381ae76d28fc5e0d22.png/show
A1 040,Arcanine,◇◇◇,Stage 1,130,Fire,,,Heat Tackle,🔴🔴*️⃣,100,This Pokemon also does 20 damage to itself.,,,,,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003400/2f9c7d5d4ac15b6f3bc1cf7dd3a0573a.png/show
A1 041,Arcanine ex,◇◇◇◇,Stage 1,150,Fire,,,Inferno Onrush,🔴🔴*️⃣,120,This Pokemon also does 20 damage to itself.,,,,,2,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4003399/4c2f076ef192173f119eb22a26b79c2b.png/show
A1 042,Ponyta,◇,Basic,60,Fire,,,Flare,🔴,20,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998340/042513122da40bdb24bbb4d9aa94ac8c.png/show
A1 043,Rapidash,◇◇,Stage 1,100,Fire,,,Fire Mane,🔴,40,,,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/4171855/170dd5274e37e4d239b137c5b546824a.png/show
A1 044,Magmar,◇,Basic,80,Fire,,,Magma Punch,🔴🔴,50,,,,,,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/3995548/76e7e3892ac03f7fed96427ae3471227.png/show
A1 045,Flareon,◇◇◇,Stage 1,120,Fire,,,Flamethrower,🔴*️⃣*️⃣,110,Discard 1 Fire Energy from this Pokemon.,,,,,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/4171955/f9b1db6e3be4c9ac1cb45771d6b7146a.png/show
A1 046,Moltres,◇◇◇,Basic,100,Fire,,,Sky Attack,🔴*️⃣*️⃣,130,"Flip a coin. If tails, this attack does nothing.",,,,,1,Genetic Apex (A1) Charizard,150,https://img.game8.co/4171888/9b2bf7381577e730e7a9068be3c0a2ba.png/show
A1 047,Moltres ex,◇◇◇◇,Basic,140,Fire,,,Inferno Dance,🔴,,Flip 3 coins. Take an amount of Fire Energy from your Energy Zone equal to the number of heads and attach it to your Benched Fire Pokemon in any way you like.,Heat Blast,🔴*️⃣*️⃣,70,,2,Genetic Apex (A1) Charizard,500,https://img.game8.co/3998342/21cb0fbf6aa4a791867a2c21ff9add20.png/show
A1 048,Heatmor,◇,Basic,80,Fire,,,Combustion,🔴,30,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/4171927/9ba133793a62c336f7a5ee2f73aa7ccf.png/show
A1 049,Salandit,◇,Basic,60,Fire,,,Scratch,🔴,20,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4171942/a5bed38092d5dad340d96c4f1436b3da.png/show
A1 050,Salazzle,◇,Stage 1,90,Fire,,,Fire Claws,🔴*️⃣,60,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998343/7bf6c55d29bbc68aeebcee10439ac8ff.png/show
A1 051,Sizzlipede,◇,Basic,60,Fire,,,Gnaw,*️⃣,10,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/4009562/7ebb7e264e76b0147c832713a586d0da.png/show
A1 052,Centiskorch,◇◇,Stage 1,130,Fire,,,Fire Blast,🔴*️⃣*️⃣*️⃣,130,Discard a Fire Energy from this Pokemon.,,,,,3,Genetic Apex (A1) Any,70,https://img.game8.co/4171952/dc3442f6b65c8cdda40ae290f4ea40b1.png/show
A1 053,Squirtle,◇,Basic,60,Water,,,Water Gun,🔵,20,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4009613/ec28a480cd492b00e08358f1ab8825f1.png/show
A1 054,Wartortle,◇◇,Stage 1,80,Water,,,Wave Splash,🔵*️⃣,40,,,,,,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4003550/72e8caf9f66e3572d2b55a9f1e057b9c.png/show
A1 055,Blastoise,◇◇◇,Stage 2,150,Water,,,Hydro Pump,🔵🔵*️⃣,80+,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",,,,,3,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003409/7285ece5bb82599b1a1d55caebc554d5.png/show
A1 056,Blastoise ex,◇◇◇◇,Stage 2,180,Water,,,Surf,🔵*️⃣,40,,Hydro Bazooka,🔵🔵*️⃣,100+,"If this Pokemon has at least 2 extra Water Energy attached, this attack does 60 more damage.",3,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4003405/fc6b1543ab68abd28e0d0b93666aa88e.png/show
A1 057,Psyduck,◇,Basic,60,Water,,,Headache,*️⃣,10,Your opponent can’t play Supporter cards from their hand during their next turn.,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/3995566/cb61632690b48259222114d7a09df5b7.png/show
A1 058,Golduck,◇◇,Stage 1,90,Water,,,Aqua Edge,🔵🔵,70,,,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/4172076/2ecb4005a3feb259d20f62f788765b78.png/show
A1 059,Poliwag,◇,Basic,60,Water,,,Razor Fin,*️⃣,10,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4172094/374b43c7e241b377e91b4f42f4d32cd8.png/show
A1 060,Poliwhirl,◇◇,Stage 1,90,Water,,,Knuckle Punch,*️⃣*️⃣,40,,,,,,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/4006826/de67ff4ff13cc5b0e22faadbeac6c7ef.png/show
A1 061,Poliwrath,◇◇◇,Stage 2,150,Water,Counterattack,"If this Pokemon is in the Active Spot and is damaged by an attack from your opponent's Pokemon, do 20 damage to the Attacking Pokemon.",,,,,Mega Punch,🔵*️⃣*️⃣,80,,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006828/1bdf9ef3c3b5bf7609cf20f50e19e2d1.png/show
A1 062,Tentacool,◇,Basic,60,Water,,,Gentle Slap,🔵,20,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4006829/91eec5ba87f6078bd567471730f55656.png/show
A1 063,Tentacruel,◇◇,Stage 1,110,Water,,,Poison Tentacles,🔵*️⃣,50,Your opponent's Active Pokemon is now Poisoned.,,,,,2,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4172100/1400b07068ed4d0f1be0cbc3ad514841.png/show
A1 064,Seel,◇,Basic,80,Water,,,Headbutt,*️⃣*️⃣,30,,,,,,2,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3998460/76266868e10d2922b75a48765dfe62ba.png/show
A1 065,Dewgong,◇◇,Stage 1,120,Water,,,Surf,🔵🔵🔵,90,,,,,,3,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4009512/71527afe3e34a581f59655b6a377be1a.png/show
A1 066,Shellder,◇,Basic,60,Water,,,Tongue Slap,🔵,20,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998339/fc01d6b7ff02466837ea9b1e5412aede.png/show
A1 067,Cloyster,◇◇,Stage 1,120,Water,Shell Armor,This Pokemon takes -10 damage from attacks.,,,,,Surf,🔵🔵*️⃣,70,,3,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4004053/96b7d3754c42fe6602afa381d78d24d3.png/show
A1 068,Krabby,◇,Basic,70,Water,,,Vise Grip,🔵*️⃣,40,,,,,,2,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998350/ada9543996209297185fa2c341f937ee.png/show
A1 069,Kingler,◇◇,Stage 1,120,Water,,,KO Crab,🔵🔵*️⃣,80+,"Flip 2 coins. If both of them are heads, this attack does 80 more damage.",,,,,3,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3998493/abf4e60f00e858bba141b09abad9d098.png/show
A1 070,Horsea,◇,Basic,60,Water,,,Water Gun,🔵,20,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4004065/56b520f0a72cb4fc66af441ad836940c.png/show
A1 071,Seadra,◇◇,Stage 1,70,Water,,,Water Arrow,🔵🔵🔵,,This attack does 50 damage to 1 of your opponent's Pokemon.,,,,,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4009510/380b6d5a2b0d812eefedb05276069db3.png/show
A1 072,Goldeen,◇,Basic,60,Water,,,Flop,*️⃣,10,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003507/e5b2bbebbc5581d528e4f1a04e769370.png/show
A1 073,Seaking,◇,Stage 1,100,Water,,,Horn Hazard,🔵,80,"Flip a coin. If tails, this attack does nothing.",,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003542/b6a9d04f2690db002130a8bb221eab89.png/show
A1 074,Staryu,◇,Basic,50,Water,,,Smack,🔵,20,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998492/54446b2a9146a6b8de5e58bebe938486.png/show
A1 075,Starmie,◇◇,Stage 1,90,Water,,,Wave Splash,🔵,40,,,,,,0,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998357/a0b9d92ae5fe5492c19eef25f9c16bda.png/show
A1 076,Starmie ex,◇◇◇◇,Stage 1,130,Water,,,Hydro Splash,🔵🔵,90,,,,,,0,Genetic Apex (A1) Charizard,500,https://img.game8.co/4003544/74f3705c0d05d68b6eafd78d909d6f7a.png/show
A1 077,Magikarp,◇,Basic,30,Water,,,Splash,*️⃣,10,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3995547/e0ed4a55a686a207fb3615b019eaeabc.png/show
A1 078,Gyarados,◇◇◇,Stage 1,150,Water,,,Hyper Beam,🔵🔵🔵🔵,100,Discard a random Energy from your opponent's Active Pokemon.,,,,,4,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003511/dfc29f4deb4bfd57aeeb421bebd7963e.png/show
A1 079,Lapras,◇◇◇,Basic,100,Water,,,Hydro Pump,🔵,20+,"If this Pokemon has at least 3 extra Water Energy attached, this attack does 60 more damage.",,,,,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/4004052/90ae53c4b2578c10e5fa54fc35d894f7.png/show
A1 080,Vaporeon,◇◇◇,Stage 1,130,Water,,,Bubble Drain,🔵*️⃣*️⃣,60,Heal 30 damage from this Pokemon.,,,,,2,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/3995579/edc2fc6a3a756ca04c64309406df20fb.png/show
A1 081,Omanyte,◇◇,Stage 1,90,Water,,,Water Gun,🔵,40,,,,,,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/3998490/2b471b4bb21496fa600bef6fd6e0a004.png/show
A1 082,Omastar,◇◇◇,Stage 2,140,Water,,,Ancient Whirlpool,🔵*️⃣*️⃣,70,"During your opponent's next turn, the Defending Pokemon can't attack.",,,,,2,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003532/1207d27ea9377b4e478a05fbafe1104b.png/show
A1 083,Articuno,◇◇◇,Basic,100,Water,,,Ice Beam,🔵🔵*️⃣,60,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,,,1,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003401/85f08a35d3ec58bc3df44f6380963b3b.png/show
A1 084,Articuno ex,◇◇◇◇,Basic,140,Water,,,Ice Wing,🔵*️⃣,40,,Blizzard,🔵🔵🔵,80,This attack also does 10 damage to each of your opponent’s Benched Pokemon.,2,Genetic Apex (A1) Mewtwo,500,https://img.game8.co/4006293/5f81841bf27137231b254d4a5652f07f.png/show
A1 085,Ducklett,◇,Basic,50,Water,,,Flap,*️⃣*️⃣,30,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998491/fc5844476c9169af97d64aafb4e6b02d.png/show
A1 086,Swanna,◇◇,Stage 1,90,Water,,,Wing Attack,*️⃣*️⃣*️⃣,70,,,,,,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998363/a0f26ca95898427319f71be7725fe221.png/show
A1 087,Froakie,◇,Basic,60,Water,,,Flop,*️⃣,10,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998356/3253d8301d0aa7580b60a42102b04671.png/show
A1 088,Frogadier,◇◇,Stage 1,80,Water,,,Water Drop,*️⃣,30,,,,,,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998543/d70b39b79ed0b84fa5f80f821d912267.png/show
A1 089,Greninja,◇◇◇,Stage 2,120,Water,Water Shuriken,"Once during your turn, you may do 20 damage to 1 of your opponent’s Pokemon.",,,,,Mist Slash,🔵*️⃣,60,,1,Genetic Apex (A1) Charizard,150,https://img.game8.co/3995539/9195cfe2483b2f1213439fac00fc008c.png/show
A1 090,Pyukumuku,◇,Basic,70,Water,,,Rain Splash,🔵,30,,,,,,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998373/c3da27b1f8379fbeb1f7b0919dd39a98.png/show
A1 091,Bruxish,◇◇,Basic,90,Water,,,Second Strike,🔵*️⃣,10+,"If your opponent's Active Pokemon has damage on it, this attack does 60 more damage",,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/4003410/0a8ddfe9ea24fe467034d436821424b4.png/show
A1 092,Snom,◇,Basic,50,Water,,,Ram,*️⃣,10,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998545/f3f9f31036b3689b13e7178938a95511.png/show
A1 093,Frosmoth,◇◇,Stage 1,90,Water,,,Powder Snow,🔵*️⃣,40,Your opponent's Active Pokemon is now Asleep.,,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998546/3c05f23cab5b100c71d9822565f832cd.png/show
A1 094,Pikachu,◇,Basic,60,Lightning,,,Gnaw,🟡,20,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3995562/df4942ff2ae721eeebcd9a18aed6086d.png/show
A1 095,Raichu,◇◇◇,Stage 1,100,Lightning,,,Thunderbolt,🟡🟡🟡,140,Discard all Energy from this Pokemon.,,,,,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4004063/afcbe335840deda435dba5d2ab2c8428.png/show
A1 096,Pikachu ex,◇◇◇◇,Basic,120,Lightning,,,Circle Circuit,🟡🟡,30x,This attack does 30 damage for each of your Benched Lightning Pokemon.,,,,,1,Genetic Apex (A1) Pikachu,500,https://img.game8.co/3995561/9ab8b09b4013f8a5eafb5cd08f8faf11.png/show
A1 097,Magnemite,◇,Basic,60,Lightning,,,Lightning Ball,🟡,20,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3998544/35e5ade3f5571739f7354394e96c997f.png/show
A1 098,Magneton,◇◇◇,Stage 1,80,Lightning,Volt Charge,"Once during your turn, you may take an Electric Energy from your Energy Zone and attach it to this Pokemon.",,,,,Spinning Attack,🟡*️⃣*️⃣*️⃣,60,,2,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4006934/965f0329be2eab24d7476c9f91ddde38.png/show
A1 099,Voltorb,◇,Basic,60,Lightning,,,Tackle,🟡,20,,,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4004039/f9929457cd2eba7f509a4098421bd577.png/show
A1 100,Electrode,◇◇,Stage 1,80,Lightning,,,Electro Ball,🟡🟡,70,,,,,,0,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4004040/bf02e265efb4d9af8a1ed87d316d03d6.png/show
A1 101,Electabuzz,◇,Basic,70,Lightning,,,Thunder Punch,🟡🟡,40+,"Flip a coin. If heads, this attack does 40 more damage. If tails, this Pokemon also does 20 damage to itself.",,,,,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3995534/2a00fe7be840d52441121ae1072a30e4.png/show
A1 102,Jolteon,◇◇◇,Stage 1,90,Lightning,,,Pin Missile,🟡*️⃣,40x,Flip 4 coins. This attack does 40 damage for each heads.,,,,,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4006822/ed62f5a9def93af10a971be762d7c72f.png/show
A1 103,Zapdos,◇◇◇,Basic,100,Lightning,,,Raging Thgunder,🟡🟡*️⃣,100,This attack also does 30 damage to 1 of your Benched Pokemon.,,,,,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4006832/42cbfcf6fa53511aa6383c0743577107.png/show
A1 104,Zapdos ex,◇◇◇◇,Basic,130,Lightning,,,Peck,🟡,20,,Thundering Hurricane,🟡🟡🟡,50x,Flip 4 coins. This attack does 50 damage for each heads.,2,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4003554/f068b46b953ea963da1c8139cfb2c13f.png/show
A1 105,Blitzle,◇,Basic,60,Lightning,,,Zap Kick,🟡,20,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998587/15228aeea697296839a27955d00f0923.png/show
A1 106,Zebstrika,◇◇,Stage 1,90,Lightning,,,Thunder Spear,🟡,,This attack does 30 damage to 1 of your opponent's Pokemon.,,,,,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998338/51a7c6f568cf9f76dd82b06bbdb0f225.png/show
A1 107,Tynamo,◇,Basic,30,Lightning,,,Tiny Charge,🟡,30,,,,,,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003545/1d1ce66d61a50dc2030e96dd152d1f14.png/show
A1 108,Eelektrik,◇◇,Stage 1,80,Lightning,,,Head Bolt,🟡,40,,,,,,2,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4004061/5f845c24c20efc13a0074e5e71958472.png/show
A1 109,Eelektross,◇◇◇,Stage 2,140,Lightning,,,Thunder Fang,🟡🟡*️⃣,80,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",,,,,3,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003422/efc24d07c4a4cd932ae71bfd6845877f.png/show
A1 110,Helioptile,◇,Basic,60,Lightning,,,Tail Whap,🟡,20,,,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998588/0b4ddf3650dca6877055a40d082d63ef.png/show
A1 111,Heliolisk,◇,Stage 1,90,Lightning,,,Quick Attack,*️⃣*️⃣,40+,"Flip a coin. If heads, this attack does 40 more damage.",,,,,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998589/9ee41cdaf51a7e7711e47857024d2f2d.png/show
