number,name,rarity,stage,HP,type,ability_name,ability_effect,move1_name,move1_cost,move1_damage,move1_effect,move2_name,move2_cost,move2_damage,move2_effect,retreat_cost,pack_name,pack_points,image
A1 011,Oddish,◇,Basic,60,Grass,N/A,N/A,Ram,🟢,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998375/428ea8dcd492a0df8d480a41bb5bc4d0.png/show
A1 012,Gloom,◇◇,Stage 1,80,Grass,N/A,N/A,Drool,🟢*️⃣,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998364/e57c97310b27c6efac8506d7dd48921b.png/show
A1 013,Vileplume,◇◇◇,Stage 2,140,Grass,N/A,N/A,Soothing Scent,🟢🟢*️⃣,80,Your opponent's Active Pokemon is now Asleep.,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Charizard,150,https://img.game8.co/4004049/8f7c224f4dde3d6d6012b428d57a748c.png/show
A1 014,Paras,◇,Basic,70,Grass,N/A,N/A,Scratch,🟢*️⃣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4006689/109616011b848f2a6858f7f34eafa06a.png/show
A1 015,Parasect,◇◇,Stage 1,120,Grass,N/A,N/A,Slash,🟢🟢*️⃣,80,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4004050/ddfd3df6e04bf4b005bd856ced03be18.png/show
A1 016,Venonat,◇,Basic,60,Grass,N/A,N/A,Tackle,🟢,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003547/5e326a850486a8ee124abdbc89d4e4b0.png/show
A1 017,Venomoth,◇◇,Stage 1,80,Grass,N/A,N/A,Poison Powder,🟢,30,Your opponent's Active Pokemon is now Poisoned.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4004056/277ad272b4379fa0fb3a423da11b729d.png/show
A1 018,Bellsprout,◇,Basic,60,Grass,N/A,N/A,Vine Whip,🟢,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998361/0bb8f6247718d51699261c3b317fe1e2.png/show
A1 019,Weepinbell,◇◇,Stage 1,90,Grass,N/A,N/A,Razor Leaf,🟢*️⃣,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/4003551/f3c89b9b13f35dd7a9f7826673294337.png/show
A1 020,Victreebel,◇◇◇,Stage 2,140,Grass,Fragrance Trap,"If this Pokemon is in the Active Spot, once during your turn, you may switch in
          1 of your
          opponent's Benched
          Basic Pokemon to the Active Spot.",N/A,N/A,N/A,N/A,Vine Whip,🟢*️⃣,60,N/A,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/3998369/33445897d312b1f7e399bcd686aff8d8.png/show
A1 021,Exeggcute,◇,Basic,50,Grass,N/A,N/A,Seed Bomb,🟢,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998366/d833f142d39f949cb107c5ebde8d2cc8.png/show
A1 022,Exeggutor,◇◇◇,Stage 1,130,Grass,N/A,N/A,Stomp,🟢,N/A,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006628/4e6a5342b585a516bc44f5b09eac3346.png/show
A1 023,Exeggutor ex,◇◇◇◇,Stage 1,160,Grass,N/A,N/A,Tropical Swing,🟢,N/A,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Charizard,500,https://img.game8.co/4003424/51e6ed4a578f4c675ff5a1244baaf3d4.png/show
A1 024,Tangela,◇,Basic,80,Grass,N/A,N/A,Absorb,🟢*️⃣,40,Heal 30 damage from this Pokemon.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998378/c8049287f4ba1febaef374a272089479.png/show
A1 025,Scyther,◇,Basic,70,Grass,N/A,N/A,Sharp Scythe,🟢,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4003541/14fb34453ef5a5c42d9d1eb6757eefe3.png/show
A1 026,Pinsir,◇◇,Basic,90,Grass,N/A,N/A,Double Horn,🟢🟢,N/A,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Any,70,https://img.game8.co/3998396/85716016d8d17502c3856d4d2c2276aa.png/show
A1 027,Cottonee,◇,Basic,50,Grass,N/A,N/A,Attach,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998397/fb4a5971f55742782dc4f27c0ff15fa6.png/show
A1 028,Whimsicott,◇◇,Stage 1,80,Grass,N/A,N/A,Rolling Tackle,*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998398/8e97268b460993362631b70832e21c9d.png/show
A1 029,Petilil,◇,Basic,60,Grass,N/A,N/A,Blot,🟢,10,Heal 10 damage from this Pokemon.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998419/b455ac123c02f6c732de99735eaa7252.png/show
A1 030,Lilligant,◇◇,Stage 1,100,Grass,N/A,N/A,Leaf Supply,🟢🟢,50,"Take a Grass Energy from your Energy Zone and attach it to 1 of your Benched
          Grass
          Pokemon.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998418/e81820ee6cc447493f392500522e5ee2.png/show
A1 031,Skiddo,◇,Basic,70,Grass,N/A,N/A,Surprise Attack,*️⃣,40,"Flip a coin. If tails, this attack does nothing.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4006629/41624508d971975a45d85a2aacf96ce2.png/show
A1 032,Gogoat,◇,Stage 1,120,Grass,N/A,N/A,Razor Leaf,🟢,70,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998368/7f43ea90627358975107d9a4c8d10f35.png/show
A1 033,Charmander,◇,Basic,60,Fire,N/A,N/A,Ember,🔴,30,Discard a Fire Energy from this Pokemon.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998416/7111224e0f37fe89ebb846f71819eede.png/show
A1 034,Charmeleon,◇◇,Stage 1,90,Fire,N/A,N/A,Fire Claws,🔴*️⃣*️⃣,60,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998417/4d026dbc3730454880ff65ce607f3a11.png/show
A1 035,Charizard,◇◇◇,Stage 2,150,Fire,N/A,N/A,Fire Spin,🔴🔴*️⃣*️⃣,150,Discard 2 Fire Energy from this Pokemon.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/3995527/abacc583cb2b4f639c07d9642045695b.png/show
A1 036,Charizard ex,◇◇◇◇,Stage 2,180,Fire,N/A,N/A,Slash,🔴*️⃣*️⃣,60,N/A,Crimson Storm,🔴🔴*️⃣*️⃣,200,Discard 2 Fire Energy from this Pokemon.,2,Genetic Apex (A1) Charizard,500,https://img.game8.co/3995526/ac9d9361799eb484958ffd4873a7c091.png/show
A1 037,Vulpix,◇,Basic,50,Fire,N/A,N/A,Tail Whip,*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/4003549/d9d1247e0b2a309b5090972bcde080bd.png/show
A1 038,Ninetales,◇◇,Stage 1,90,Fire,N/A,N/A,Flamethrower,🔴🔴,90,Discard a Fire Energy from this Pokemon.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/4004066/5355e3320f79bd5ddbac28f0938d55a0.png/show
A1 039,Growlithe,◇,Basic,70,Fire,N/A,N/A,Bite,*️⃣*️⃣,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003508/3be46036163a4e381ae76d28fc5e0d22.png/show
A1 040,Arcanine,◇◇◇,Stage 1,130,Fire,N/A,N/A,Heat Tackle,🔴🔴*️⃣,100,This Pokemon also does 20 damage to itself.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003400/2f9c7d5d4ac15b6f3bc1cf7dd3a0573a.png/show
A1 041,Arcanine ex,◇◇◇◇,Stage 1,150,Fire,N/A,N/A,Inferno Onrush,🔴🔴*️⃣,120,This Pokemon also does 20 damage to itself.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4003399/4c2f076ef192173f119eb22a26b79c2b.png/show
A1 042,Ponyta,◇,Basic,60,Fire,N/A,N/A,Flare,🔴,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998340/042513122da40bdb24bbb4d9aa94ac8c.png/show
A1 043,Rapidash,◇◇,Stage 1,100,Fire,N/A,N/A,Fire Mane,🔴,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998414/32d4d0de5496b62ebb673635adb0a6d3.png/show
A1 044,Magmar,◇,Basic,80,Fire,N/A,N/A,Magma Punch,🔴🔴,50,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,35,https://img.game8.co/3995548/76e7e3892ac03f7fed96427ae3471227.png/show
A1 045,Flareon,◇◇◇,Stage 1,120,Fire,N/A,N/A,Flamethrower,🔴*️⃣*️⃣,110,Discard 1 Fire Energy from this Pokemon.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/3998420/23b100d03bec98c9c196c2f1aa8ec53f.png/show
A1 046,Moltres,◇◇◇,Basic,100,Fire,N/A,N/A,Sky Attack,🔴*️⃣*️⃣,130,"Flip a coin. If tails, this attack does nothing.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,150,https://img.game8.co/3998415/7172694cc4c05519129ba7d82daed78a.png/show
A1 047,Moltres ex,◇◇◇◇,Basic,140,Fire,N/A,N/A,Inferno Dance,🔴,N/A,N/A,Heat Blast,🔴*️⃣*️⃣,70,N/A,2,Genetic Apex (A1) Charizard,500,https://img.game8.co/3998342/21cb0fbf6aa4a791867a2c21ff9add20.png/show
A1 048,Heatmor,◇,Basic,80,Fire,N/A,N/A,Combustion,🔴,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998429/5d2064be73c52dc19b28b55e63194dfc.png/show
A1 049,Salandit,◇,Basic,60,Fire,N/A,N/A,Scratch,🔴,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998430/3ae9351100ff3a974da5daddbb884f0e.png/show
A1 050,Salazzle,◇,Stage 1,90,Fire,N/A,N/A,Fire Claws,🔴*️⃣,60,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998343/7bf6c55d29bbc68aeebcee10439ac8ff.png/show
A1 051,Sizzlipede,◇,Basic,60,Fire,N/A,N/A,Gnaw,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/4009562/7ebb7e264e76b0147c832713a586d0da.png/show
A1 052,Centiskorch,◇◇,Stage 1,130,Fire,N/A,N/A,Fire Blast,🔴*️⃣*️⃣*️⃣,130,Discard a Fire Energy from this Pokemon.,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Any,70,https://img.game8.co/3998428/eb959a838599765d74ba341ce551e350.png/show
A1 053,Squirtle,◇,Basic,60,Water,N/A,N/A,Water Gun,🔵,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4009613/ec28a480cd492b00e08358f1ab8825f1.png/show
A1 054,Wartortle,◇◇,Stage 1,80,Water,N/A,N/A,Wave Splash,🔵*️⃣,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4003550/72e8caf9f66e3572d2b55a9f1e057b9c.png/show
A1 055,Blastoise,◇◇◇,Stage 2,150,Water,N/A,N/A,Hydro Pump,🔵🔵*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003409/7285ece5bb82599b1a1d55caebc554d5.png/show
A1 056,Blastoise ex,◇◇◇◇,Stage 2,180,Water,N/A,N/A,Surf,🔵*️⃣,40,N/A,Hydro Bazooka,🔵🔵*️⃣,N/A,N/A,3,Genetic Apex (A1) Pikachu,500,https://img.game8.co/4003405/fc6b1543ab68abd28e0d0b93666aa88e.png/show
A1 057,Psyduck,◇,Basic,60,Water,N/A,N/A,Headache,*️⃣,10,Your opponent can’t play Supporter cards from their hand during their next turn.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3995566/cb61632690b48259222114d7a09df5b7.png/show
A1 058,Golduck,◇◇,Stage 1,90,Water,N/A,N/A,Aqua Edge,🔵🔵,70,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998459/a1e017b103081f39e8de3fdb8e9f8c69.png/show
A1 059,Poliwag,◇,Basic,60,Water,N/A,N/A,Razor Fin,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998457/12c23d6f600b8e3347c0c832d5006f0b.png/show
A1 060,Poliwhirl,◇◇,Stage 1,90,Water,N/A,N/A,Knuckle Punch,*️⃣*️⃣,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,70,https://img.game8.co/4006826/de67ff4ff13cc5b0e22faadbeac6c7ef.png/show
A1 061,Poliwrath,◇◇◇,Stage 2,150,Water,Counterattack,"If this Pokemon is in the Active Spot and is damaged by an attack from your
          opponent's
          Pokemon, do 20 damage
          to the Attacking Pokemon.",N/A,N/A,N/A,N/A,Mega Punch,🔵*️⃣*️⃣,80,N/A,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/4006828/1bdf9ef3c3b5bf7609cf20f50e19e2d1.png/show
A1 062,Tentacool,◇,Basic,60,Water,N/A,N/A,Gentle Slap,🔵,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/4006829/91eec5ba87f6078bd567471730f55656.png/show
A1 063,Tentacruel,◇◇,Stage 1,110,Water,N/A,N/A,Poison Tentacles,🔵*️⃣,50,Your opponent's Active Pokemon is now Poisoned.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3998458/64cd10178f355800afc1b565915ee36c.png/show
A1 064,Seel,◇,Basic,80,Water,N/A,N/A,Headbutt,*️⃣*️⃣,30,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3998460/76266868e10d2922b75a48765dfe62ba.png/show
A1 065,Dewgong,◇◇,Stage 1,120,Water,N/A,N/A,Surf,🔵🔵🔵,90,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4009512/71527afe3e34a581f59655b6a377be1a.png/show
A1 066,Shellder,◇,Basic,60,Water,N/A,N/A,Tongue Slap,🔵,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998339/fc01d6b7ff02466837ea9b1e5412aede.png/show
A1 067,Cloyster,◇◇,Stage 1,120,Water,Shell Armor,This Pokemon takes -10 damage from attacks.,N/A,N/A,N/A,N/A,Surf,🔵🔵*️⃣,70,N/A,3,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/4004053/96b7d3754c42fe6602afa381d78d24d3.png/show
A1 068,Krabby,◇,Basic,70,Water,N/A,N/A,Vise Grip,🔵*️⃣,40,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,35,https://img.game8.co/3998350/ada9543996209297185fa2c341f937ee.png/show
A1 069,Kingler,◇◇,Stage 1,120,Water,N/A,N/A,KO Crab,🔵🔵*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,3,Genetic Apex (A1) Mewtwo,70,https://img.game8.co/3998493/abf4e60f00e858bba141b09abad9d098.png/show
A1 070,Horsea,◇,Basic,60,Water,N/A,N/A,Water Gun,🔵,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4004065/56b520f0a72cb4fc66af441ad836940c.png/show
A1 071,Seadra,◇◇,Stage 1,70,Water,N/A,N/A,Water Arrow,🔵🔵🔵,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/4009510/380b6d5a2b0d812eefedb05276069db3.png/show
A1 072,Goldeen,◇,Basic,60,Water,N/A,N/A,Flop,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003507/e5b2bbebbc5581d528e4f1a04e769370.png/show
A1 073,Seaking,◇,Stage 1,100,Water,N/A,N/A,Horn Hazard,🔵,80,"Flip a coin. If tails, this attack does nothing.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/4003542/b6a9d04f2690db002130a8bb221eab89.png/show
A1 074,Staryu,◇,Basic,50,Water,N/A,N/A,Smack,🔵,20,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998492/54446b2a9146a6b8de5e58bebe938486.png/show
A1 075,Starmie,◇◇,Stage 1,90,Water,N/A,N/A,Wave Splash,🔵,40,N/A,N/A,N/A,N/A,N/A,0,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998357/a0b9d92ae5fe5492c19eef25f9c16bda.png/show
A1 076,Starmie ex,◇◇◇◇,Stage 1,130,Water,N/A,N/A,Hydro Splash,🔵🔵,90,N/A,N/A,N/A,N/A,N/A,0,Genetic Apex (A1) Charizard,500,https://img.game8.co/4003544/74f3705c0d05d68b6eafd78d909d6f7a.png/show
A1 077,Magikarp,◇,Basic,30,Water,N/A,N/A,Splash,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,35,https://img.game8.co/3995547/e0ed4a55a686a207fb3615b019eaeabc.png/show
A1 078,Gyarados,◇◇◇,Stage 1,150,Water,N/A,N/A,Hyper Beam,🔵🔵🔵🔵,100,Discard a random Energy from your opponent's Active Pokemon.,N/A,N/A,N/A,N/A,4,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003511/dfc29f4deb4bfd57aeeb421bebd7963e.png/show
A1 079,Lapras,◇◇◇,Basic,100,Water,N/A,N/A,Hydro Pump,🔵,N/A,N/A,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Charizard,150,https://img.game8.co/4004052/90ae53c4b2578c10e5fa54fc35d894f7.png/show
A1 080,Vaporeon,◇◇◇,Stage 1,130,Water,N/A,N/A,Bubble Drain,🔵*️⃣*️⃣,60,Heal 30 damage from this Pokemon.,N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/3995579/edc2fc6a3a756ca04c64309406df20fb.png/show
A1 081,Omanyte,◇◇,Stage 1,90,Water,N/A,N/A,Water Gun,🔵,40,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Pikachu,70,https://img.game8.co/3998490/2b471b4bb21496fa600bef6fd6e0a004.png/show
A1 082,Omastar,◇◇◇,Stage 2,140,Water,N/A,N/A,Ancient Whirlpool,🔵*️⃣*️⃣,70,"During your opponent's next turn, the Defending Pokemon can't attack.",N/A,N/A,N/A,N/A,2,Genetic Apex (A1) Pikachu,150,https://img.game8.co/4003532/1207d27ea9377b4e478a05fbafe1104b.png/show
A1 083,Articuno,◇◇◇,Basic,100,Water,N/A,N/A,Ice Beam,🔵🔵*️⃣,60,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Mewtwo,150,https://img.game8.co/4003401/85f08a35d3ec58bc3df44f6380963b3b.png/show
A1 084,Articuno ex,◇◇◇◇,Basic,140,Water,N/A,N/A,Ice Wing,🔵*️⃣,40,N/A,Blizzard,🔵🔵🔵,80,This attack also does 10 damage to each of your opponent’s Benched Pokemon.,2,Genetic Apex (A1) Mewtwo,500,https://img.game8.co/4006293/5f81841bf27137231b254d4a5652f07f.png/show
A1 085,Ducklett,◇,Basic,50,Water,N/A,N/A,Flap,*️⃣*️⃣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998491/fc5844476c9169af97d64aafb4e6b02d.png/show
A1 086,Swanna,◇◇,Stage 1,90,Water,N/A,N/A,Wing Attack,*️⃣*️⃣*️⃣,70,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998363/a0f26ca95898427319f71be7725fe221.png/show
A1 087,Froakie,◇,Basic,60,Water,N/A,N/A,Flop,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998356/3253d8301d0aa7580b60a42102b04671.png/show
A1 088,Frogadier,◇◇,Stage 1,80,Water,N/A,N/A,Water Drop,*️⃣,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,70,https://img.game8.co/3998543/d70b39b79ed0b84fa5f80f821d912267.png/show
A1 089,Greninja,◇◇◇,Stage 2,120,Water,Water Shuriken,"Once during your turn, you may do 20 damage to 1 of your opponent’s Pokemon.",N/A,N/A,N/A,N/A,Mist Slash,🔵*️⃣,60,N/A,1,Genetic Apex (A1) Charizard,150,https://img.game8.co/3995539/9195cfe2483b2f1213439fac00fc008c.png/show
A1 090,Pyukumuku,◇,Basic,70,Water,N/A,N/A,Rain Splash,🔵,30,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Charizard,35,https://img.game8.co/3998373/c3da27b1f8379fbeb1f7b0919dd39a98.png/show
A1 091,Bruxish,◇◇,Basic,90,Water,N/A,N/A,Second Strike,🔵*️⃣,N/A,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/4003410/0a8ddfe9ea24fe467034d436821424b4.png/show
A1 092,Snom,◇,Basic,50,Water,N/A,N/A,Ram,*️⃣,10,N/A,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,35,https://img.game8.co/3998545/f3f9f31036b3689b13e7178938a95511.png/show
A1 093,Frosmoth,◇◇,Stage 1,90,Water,N/A,N/A,Powder Snow,🔵*️⃣,40,Your opponent's Active Pokemon is now Asleep.,N/A,N/A,N/A,N/A,1,Genetic Apex (A1) Any,70,https://img.game8.co/3998546/3c05f23cab5b100c71d9822565f832cd.png/show
